collection,lesson,lesson_url,lesson_size
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-48-medicine,https://mdn.illops.net/vietnamesepod101/S_S1L48_120312_vpod101.mp3,8.70435905456543
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-49-vietnamese-for-getting-help-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L49_121012_vpod101.mp3,6.957308769226074
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-46-survival-for-vegetarians-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L46_111912_vpod101.mp3,8.091516494750978
before-you-travel-southern-vietnamese-survival-phrases,survival-phrases-s2-34-how-do-you-read-this-in-southern-vietnamese,https://mdn.illops.net/vietnamesepod101/S_S2L34_030116_vpod101.mp3,8.19395637512207
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-50-avoid-getting-caught-in-the-rain-with-weather-vocabulary,https://mdn.illops.net/vietnamesepod101/S_S1L50_121712_vpod101.mp3,9.031408309936523
make-comparisons-and-appointments-lower-beginner-vietnamese,lower-beginner-25-can-you-help-me-redesign-this-vietnamese-website,https://mdn.illops.net/vietnamesepod101/LB_S1L25_122214_vpod101.mp3,15.807756423950195
flexing-your-fluency,advanced-audio-blog-1-top-10-vietnamese-regions-and-cities-hanoi,https://mdn.illops.net/vietnamesepod101/A_S1L1_010512_vpod101.mp3,3.6779518127441406
daily-conversations-in-vietnamese-beginner,beginner-25-making-a-delicious-vietnamese-dish,https://mdn.illops.net/vietnamesepod101/B_S1L25_122115_vpod101.mp3,22.803510665893555
top-400-activities-daily-routines-in-vietnamese,in-the-morning,https://mdn.illops.net/vietnamesepod101/T400ADRIV_L1_101916_vpod101.mp3,14.1619291305542
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-47-using-vietnamese-to-get-medical-help,https://mdn.illops.net/vietnamesepod101/S_S1L47_112612_vpod101.mp3,6.938774108886719
daily-conversations-in-vietnamese-beginner,beginner-23-asking-about-business-hours-in-vietnamese,https://mdn.illops.net/vietnamesepod101/B_S1L23_120715_vpod101.mp3,20.23317813873291
sound-like-a-native-vietnamese-pronunciation,pronunciation-5-common-vietnamese-pronunciation-mistakes,https://mdn.illops.net/vietnamesepod101/P_L5_122313_vpod101.mp3,13.762773513793945
vietnamese-vocab-builder,natural-science-fields,https://d1pra95f92lrn3.cloudfront.net/audio_lesson/audiolesson_83b579146fadf9d758c8f46ccf87fc89.mp3,2.3127803802490234
culture-class-holidays-in-vietnam,vietnamese-womens-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L13_033015_vpod101.mp3,5.3840675354003915
all-about-vietnamese-culture-and-society,all-about-15-top-5-vietnamese-phrases-from-the-hosts,https://mdn.illops.net/vietnamesepod101/ALL_L15_111813_vpod101.mp3,6.15455436706543
all-about-vietnamese-culture-and-society,all-about-13-top-5-phrases-your-teacher-will-never-teach-you,https://mdn.illops.net/vietnamesepod101/ALL_L13_110413_vpod101.mp3,5.8000030517578125
learn-with-pictures,get-your-vegetables,-1,0.0
daily-conversations-in-vietnamese-beginner,beginner-24-how-much-meat-do-you-want-at-the-vietnamese-market,https://mdn.illops.net/vietnamesepod101/B_S1L24_121415_vpod101.mp3,20.384026527404785
culture-class-holidays-in-vietnam,new-years-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L1_010515_vpod101.mp3,5.856305122375487
culture-class-holidays-in-vietnam,hue-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L14_040615_vpod101.mp3,5.879323959350586
learn-with-pictures,facial-features,-1,0.0
learn-with-pictures,computers,-1,0.0
all-about-vietnamese-culture-and-society,all-about-14-top-5-vietnamese-classroom-phrases,https://mdn.illops.net/vietnamesepod101/ALL_L14_111113_vpod101.mp3,6.8212080001831055
learn-with-pictures,marine-animals,-1,0.0
learn-with-pictures,geography,-1,0.0
learn-with-pictures,farm-animals,-1,0.0
learn-with-pictures,numbers,-1,0.0
learn-with-pictures,colors,-1,0.0
learn-with-pictures,at-home,-1,0.0
learn-with-pictures,sports,-1,0.0
learn-with-pictures,drinks,-1,0.0
learn-with-pictures,school-subjects,-1,0.0
learn-with-pictures,in-a-room,-1,0.0
learn-with-pictures,jobs,-1,0.0
learn-with-pictures,travel,-1,0.0
learn-with-pictures,at-school,-1,0.0
learn-with-pictures,in-the-bookstore,-1,0.0
learn-with-pictures,weather-forecast-says,-1,0.0
learn-with-pictures,all-parts-of-the-body,-1,0.0
learn-with-pictures,getting-around-in-vehicles,-1,0.0
learn-with-pictures,in-the-city,-1,0.0
learn-with-pictures,get-your-fruit,-1,0.0
all-about-vietnamese-culture-and-society,all-about-12-top-5-tips-for-avoiding-common-mistakes-in-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L12_102813_vpod101.mp3,9.285135269165039
learn-with-pictures,in-the-office,-1,0.0
all-about-vietnamese-culture-and-society,all-about-11-top-5-most-useful-tools-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L11_102113_vpod101.mp3,7.505200386047362
learn-with-pictures,clothing,-1,0.0
